Name,Description,Category
Nike Air Max,Comfortable running shoes with breathable mesh,Shoes
Adidas Ultraboost,High-performance sneakers with boost cushioning,Shoes
Vans Old Skool,Classic skate shoes with canvas and suede uppers,Shoes
Converse Chuck Taylor,Iconic sneakers known for their timeless style,Shoes
Puma RS-X3,Chunky sneakers with retro-inspired design,Shoes
Nike Dri-FIT T-Shirt,Moisture-wicking t-shirt for active wear,Shirts
Under Armour Tech 2.0,Lightweight and comfortable workout shirt,Shirts
Hanes ComfortSoft,Soft cotton t-shirt for everyday use,Shirts
Ralph Lauren Polo,Classic polo shirt with embroidered logo,Shirts
Tommy Hilfiger Oxford,Button-down shirt with Oxford cloth,Shirts
iPhone 13 Pro,Flagship smartphone with A15 Bionic chip,Phones
Samsung Galaxy S21,Android smartphone with powerful camera,Phones
Google Pixel 6,High-end Android phone with Google's latest features,Phones
OnePlus 9 Pro,Flagship killer with fast charging and smooth performance,Phones
Xiaomi Redmi Note 10,Budget-friendly phone with impressive battery life,Phones
